model_folder,overall_accuracy,top2_overall_accuracy,accuracy_Angry,top2_accuracy_Angry,nll_Angry,accuracy_Contempt,top2_accuracy_Contempt,nll_Contempt,accuracy_Disgust,top2_accuracy_Disgust,nll_Disgust,accuracy_Fear,top2_accuracy_Fear,nll_Fear,accuracy_Happiness,top2_accuracy_Happiness,nll_Happiness,accuracy_Neutral,top2_accuracy_Neutral,nll_Neutral,accuracy_Sadness,top2_accuracy_Sadness,nll_Sadness,accuracy_Surprise,top2_accuracy_Surprise,nll_Surprise
enet_b0_100M_100W_fine,46.061240512954726,70.4789322166972,12.903225806451612,63.824884792626726,2.300803468575538,,,,66.66666666666667,78.43137254901961,1.0161235009105511,41.693811074918564,75.2442996742671,1.439889285974326,41.434599156118146,61.94092827004219,1.6528055567332673,41.470588235294116,65.58823529411765,1.4577310489928899,63.59832635983263,83.05439330543933,0.9840596565550775,68.9969604863222,87.53799392097264,0.8295147774973176
enet_b0_100M_100W_fine_best_val,61.999476576812356,83.87856582046585,38.0184331797235,81.5668202764977,1.421516416935585,,,,63.23529411764706,74.26470588235294,1.1875313890084405,49.185667752442995,69.70684039087948,1.3346753403884193,73.67088607594937,90.12658227848101,0.7088094232017902,54.411764705882355,84.11764705882354,1.176813457752852,71.54811715481172,87.02928870292887,0.8306310368225925,63.829787234042556,84.4984802431611,1.0016844698813911
enet_b0_100M_100W_fine_epoch10,47.788537032190526,72.52028264852133,14.055299539170507,60.59907834101382,2.3196134238336494,,,,67.6470588235294,77.69607843137256,0.9972895482103067,42.671009771986974,73.61563517915309,1.4300965920988629,44.81012658227848,65.40084388185655,1.4792955541759258,43.38235294117647,73.97058823529412,1.3569363792262532,63.59832635983263,82.84518828451883,0.9920322228573549,69.30091185410335,88.44984802431611,0.8392306233651505
enet_b0_100M_100W_fine_epoch15,45.93038471604292,70.71447265113845,17.05069124423963,66.58986175115207,2.1003391462708674,,,,68.13725490196079,80.1470588235294,0.9433678544626352,42.99674267100977,75.8957654723127,1.3794022526968186,41.60337552742616,61.77215189873418,1.6116001359716585,39.26470588235294,65.29411764705883,1.4701606559841072,59.62343096234309,81.17154811715481,1.0741753330960564,68.69300911854103,87.8419452887538,0.8711427181908198
enet_b0_100M_100W_fine_epoch20,46.061240512954726,70.53127453546192,14.516129032258064,65.2073732718894,2.198720399702337,,,,67.6470588235294,79.90196078431373,0.9661832770672809,44.62540716612378,77.52442996742671,1.3496254356608328,40.84388185654009,60.50632911392405,1.6622212245588817,42.05882352941177,67.5,1.4247300829190541,59.41422594142259,79.9163179916318,1.1081118123866383,69.90881458966565,88.14589665653496,0.8266234832920565
enet_b0_100M_100W_fine_epoch25,45.8780423972782,70.3480764197854,12.211981566820276,62.672811059907836,2.3218981030006565,,,,67.40196078431373,78.43137254901961,1.0041375722069585,41.693811074918564,76.2214983713355,1.4133243284124506,40.25316455696203,60.92827004219409,1.6761570856947734,41.470588235294116,66.61764705882354,1.4647471007178812,63.38912133891213,82.42677824267783,0.9993935352958714,71.42857142857143,89.05775075987842,0.7955877410225276
enet_b0_100M_100W_fine_epoch30,46.00889819419,70.53127453546192,15.898617511520737,64.97695852534562,2.1749681144575095,,,,67.40196078431373,78.67647058823529,0.9958395440697524,42.34527687296417,76.2214983713355,1.4153943030036233,41.434599156118146,61.60337552742616,1.6344193412752366,41.3235294117647,67.05882352941177,1.4374776370165978,58.57740585774059,79.2887029288703,1.1128598386964605,70.51671732522796,89.05775075987842,0.808580286062031
enet_b0_100M_100W_fine_epoch35,46.16592515048416,70.4789322166972,13.133640552995391,62.44239631336406,2.296072067684292,,,,67.8921568627451,80.1470588235294,0.9581999722651352,43.648208469055376,76.2214983713355,1.4065094940691991,41.18143459915612,61.434599156118146,1.6539620995312292,42.35294117647059,66.76470588235294,1.437566172024783,59.8326359832636,80.5439330543933,1.0854639067842773,71.12462006079028,89.36170212765957,0.8008167547638044
enet_b0_100M_100W_fine_epoch40,46.061240512954726,70.4789322166972,12.903225806451612,63.824884792626726,2.300803468575538,,,,66.66666666666667,78.43137254901961,1.0161235009105511,41.693811074918564,75.2442996742671,1.439889285974326,41.434599156118146,61.94092827004219,1.6528055567332673,41.470588235294116,65.58823529411765,1.4577310489928899,63.59832635983263,83.05439330543933,0.9840596565550775,68.9969604863222,87.53799392097264,0.8295147774973176
enet_b0_100M_100W_fine_epoch5,51.34781470819157,76.89086626537555,16.359447004608295,67.97235023041475,2.148479274323871,,,,70.58823529411765,80.1470588235294,0.9558814812483558,41.693811074918564,68.72964169381108,1.5514134073247738,53.164556962025316,74.17721518987342,1.1977800345043397,43.970588235294116,77.6470588235294,1.3189937284983255,66.94560669456067,85.77405857740585,0.9005954930030061,68.69300911854103,87.53799392097264,0.8559775216771024
