model_folder,overall_accuracy,top2_overall_accuracy,accuracy_Angry,top2_accuracy_Angry,nll_Angry,accuracy_Contempt,top2_accuracy_Contempt,nll_Contempt,accuracy_Disgust,top2_accuracy_Disgust,nll_Disgust,accuracy_Fear,top2_accuracy_Fear,nll_Fear,accuracy_Happiness,top2_accuracy_Happiness,nll_Happiness,accuracy_Neutral,top2_accuracy_Neutral,nll_Neutral,accuracy_Sadness,top2_accuracy_Sadness,nll_Sadness,accuracy_Surprise,top2_accuracy_Surprise,nll_Surprise
Best Validation Epoch,36.24705574456949,54.64538079036901,27.1889400921659,46.31336405529954,2.7216584724094646,,,,12.254901960784315,21.568627450980394,4.626479992391907,30.618892508143322,51.79153094462541,2.6996352629932683,63.20675105485232,78.64978902953587,1.398199640206375,19.705882352941178,35.0,3.559188268812077,26.359832635983263,47.69874476987448,2.8717450371170883,34.650455927051674,73.55623100303951,1.9193617835263
Epoch 10,34.49358806595132,53.59853441507459,33.41013824884793,52.995391705069125,2.129582122681347,,,,10.294117647058824,21.07843137254902,3.9924002727288204,37.45928338762215,57.328990228013026,2.0539696002265297,59.57805907172996,75.27426160337552,1.4013658030302663,15.588235294117647,32.05882352941177,3.3736935384468403,23.84937238493724,44.76987447698745,2.6558976137317,27.35562310030395,70.51671732522796,2.093633286012365
Epoch 15,35.3048940068045,54.09578644333944,35.25345622119816,53.68663594470046,2.216967356187038,,,,11.27450980392157,19.11764705882353,4.6707725478153606,35.83061889250814,55.04885993485342,2.2959405024597954,58.39662447257384,74.51476793248945,1.5770629090380397,19.264705882352942,37.05882352941177,3.3811545752648646,26.778242677824267,47.07112970711297,2.723031402805189,27.051671732522795,68.9969604863222,2.269569255932132
Epoch 20,36.84899241036378,54.54069615283957,34.10138248847926,53.68663594470046,2.279696855967294,,,,11.27450980392157,18.872549019607842,4.604294746557214,25.732899022801302,47.23127035830619,2.8621649211254585,64.21940928270043,79.15611814345992,1.277537209879258,17.647058823529413,32.94117647058823,3.5663686031127475,26.359832635983263,46.44351464435147,2.8122268253572043,38.90577507598784,74.46808510638297,1.7452973129396188
Epoch 25,34.93849777545145,53.31065166186862,34.10138248847926,53.45622119815668,2.315964308754307,,,,13.235294117647058,21.323529411764707,4.49918983678685,26.710097719869708,50.814332247557005,2.7640366465225283,57.89029535864979,75.18987341772151,1.555503509803607,17.205882352941178,30.441176470588236,3.7758266354846617,24.267782426778243,44.56066945606695,2.986018986290683,40.121580547112465,76.2917933130699,1.7265907363167476
Epoch 30,36.82282125098142,54.90709238419262,28.571428571428573,47.235023041474655,2.5970109624421625,,,,11.764705882352942,20.833333333333332,4.72558173936947,32.57328990228013,53.09446254071661,2.6086828241844335,65.14767932489451,79.74683544303798,1.3461241361927743,22.352941176470587,37.794117647058826,3.4196133215969895,23.84937238493724,44.97907949790795,3.023467024086359,29.48328267477204,69.30091185410335,2.2027910913710165
Epoch 35,34.545930384716044,53.23213818372154,29.953917050691246,50.23041474654378,2.5725081934824967,,,,13.72549019607843,22.058823529411764,4.5334162262209015,31.270358306188925,53.420195439739416,2.592922091483501,58.05907172995781,74.17721518987342,1.610729007608269,18.235294117647058,33.6764705882353,3.67775221360041,23.221757322175733,44.14225941422594,3.038695937737133,34.954407294832826,73.86018237082067,1.9384855025808474
Epoch 40,37.163046322952106,55.037948181104426,32.02764976958525,51.84331797235023,2.5113073262964254,,,,13.235294117647058,22.54901960784314,4.567227534672437,27.68729641693811,47.88273615635179,2.8416924349603327,65.14767932489451,79.32489451476793,1.3814694370928018,23.38235294117647,38.8235294117647,3.420916786627211,22.384937238493723,42.67782426778243,3.1652134666540834,31.61094224924012,70.2127659574468,2.1399049886465527
Epoch 5,35.69746139753991,54.40984035592777,32.71889400921659,51.84331797235023,2.032817324746855,,,,12.5,20.833333333333332,3.422344404583176,35.83061889250814,58.306188925081436,1.937000002778751,59.24050632911393,75.61181434599156,1.286161252566739,22.794117647058822,39.85294117647059,2.6015349116450284,21.548117154811717,42.05020920502092,2.4677662040929165,30.699088145896656,67.47720364741642,1.7970141036702054
Epoch Final,37.163046322952106,55.037948181104426,32.02764976958525,51.84331797235023,2.5113073262964254,,,,13.235294117647058,22.54901960784314,4.567227534672437,27.68729641693811,47.88273615635179,2.8416924349603327,65.14767932489451,79.32489451476793,1.3814694370928018,23.38235294117647,38.8235294117647,3.420916786627211,22.384937238493723,42.67782426778243,3.1652134666540834,31.61094224924012,70.2127659574468,2.1399049886465527
