model_folder,overall_accuracy,top2_overall_accuracy,accuracy_Angry,top2_accuracy_Angry,nll_Angry,accuracy_Contempt,top2_accuracy_Contempt,nll_Contempt,accuracy_Disgust,top2_accuracy_Disgust,nll_Disgust,accuracy_Fear,top2_accuracy_Fear,nll_Fear,accuracy_Happiness,top2_accuracy_Happiness,nll_Happiness,accuracy_Neutral,top2_accuracy_Neutral,nll_Neutral,accuracy_Sadness,top2_accuracy_Sadness,nll_Sadness,accuracy_Surprise,top2_accuracy_Surprise,nll_Surprise
Best on Validation,92.2879177377892,98.45758354755785,89.36170212765957,98.93617021276596,0.316130907197998,83.9080459770115,95.40229885057471,0.4623269990632503,89.36170212765957,97.87234042553192,0.25893300652108897,93.22033898305085,99.15254237288136,0.16797278072365351,98.98989898989899,100.0,0.029432031348907796,98.80952380952381,100.0,0.08290308486279427,90.35087719298245,98.24561403508773,0.18908664895669325,94.31818181818181,97.72727272727273,0.18042118726556175
Epoch 10,95.88688946015424,99.3573264781491,93.61702127659575,100.0,0.1905338067840208,90.80459770114942,98.85057471264368,0.41455646037825394,96.80851063829788,98.93617021276596,0.12005198575927882,95.76271186440678,100.0,0.16469622362539088,100.0,100.0,0.0025252178825068746,96.42857142857143,98.80952380952381,0.08099021392360496,95.6140350877193,98.24561403508773,0.191682163432626,97.72727272727273,100.0,0.07436876984838971
Epoch 15,95.88688946015424,99.48586118251929,94.68085106382979,100.0,0.1313008989544891,89.65517241379311,98.85057471264368,0.48128431896191176,95.74468085106383,98.93617021276596,0.1404236387411548,95.76271186440678,100.0,0.1650622897025006,100.0,100.0,0.0007528810870648486,98.80952380952381,100.0,0.053296624867653124,94.73684210526316,98.24561403508773,0.250448591171948,97.72727272727273,100.0,0.07512486357911154
Epoch 20,96.01542416452442,99.48586118251929,97.87234042553192,100.0,0.10324637423336303,87.35632183908046,98.85057471264368,0.5568115808629023,94.68085106382979,98.93617021276596,0.1678217902191351,95.76271186440678,100.0,0.17984395471290043,100.0,100.0,0.0004115096463691182,98.80952380952381,100.0,0.034123407183701514,95.6140350877193,98.24561403508773,0.21648315060872553,97.72727272727273,100.0,0.06823647002574515
Epoch 25,95.62982005141389,99.3573264781491,92.55319148936171,100.0,0.13718103445445054,88.50574712643679,98.85057471264368,0.6285273507606345,97.87234042553192,98.93617021276596,0.10989151242893344,95.76271186440678,100.0,0.14418545583879422,100.0,100.0,0.00036599421343519716,96.42857142857143,98.80952380952381,0.05322761474279383,96.49122807017544,98.24561403508773,0.18939011997540053,96.5909090909091,100.0,0.08676112229940292
Epoch 30,95.37275064267352,99.3573264781491,93.61702127659575,100.0,0.13669871351606586,87.35632183908046,98.85057471264368,0.628649678928929,95.74468085106383,98.93617021276596,0.08836329434458162,94.91525423728814,100.0,0.18994915827037206,100.0,100.0,0.000593115763538795,97.61904761904762,98.80952380952381,0.0668569497036938,96.49122807017544,98.24561403508773,0.17391395021156777,96.5909090909091,100.0,0.0868258193451571
Epoch 35,95.75835475578405,99.48586118251929,93.61702127659575,100.0,0.152722766217964,89.65517241379311,98.85057471264368,0.5170256641890452,96.80851063829788,98.93617021276596,0.10944331738872679,94.0677966101695,100.0,0.19614196769694783,100.0,100.0,0.00045947735796402644,98.80952380952381,100.0,0.031574550128203836,95.6140350877193,98.24561403508773,0.23933498316056656,97.72727272727273,100.0,0.07589196377147235
Epoch 40,95.88688946015424,99.3573264781491,94.68085106382979,100.0,0.14625729299088328,88.50574712643679,98.85057471264368,0.504518819421485,96.80851063829788,98.93617021276596,0.09976857175381808,94.91525423728814,100.0,0.19010967481409324,100.0,100.0,0.00023395990509318673,97.61904761904762,98.80952380952381,0.05696780241550702,96.49122807017544,98.24561403508773,0.17782336685477504,97.72727272727273,100.0,0.07514999775783351
Epoch 5,94.73007712082263,99.22879177377892,92.55319148936171,100.0,0.18460994954199286,85.05747126436782,98.85057471264368,0.4065871747262285,94.68085106382979,98.93617021276596,0.14204353674868223,95.76271186440678,98.30508474576271,0.1301870754386635,100.0,100.0,0.009762262060165325,97.61904761904762,100.0,0.07490061962800858,95.6140350877193,98.24561403508773,0.18057930282861237,95.45454545454545,100.0,0.12027007106272235
Epoch Final,95.88688946015424,99.3573264781491,94.68085106382979,100.0,0.14625729299088328,88.50574712643679,98.85057471264368,0.504518819421485,96.80851063829788,98.93617021276596,0.09976857175381808,94.91525423728814,100.0,0.19010967481409324,100.0,100.0,0.00023395990509318673,97.61904761904762,98.80952380952381,0.05696780241550702,96.49122807017544,98.24561403508773,0.17782336685477504,97.72727272727273,100.0,0.07514999775783351
